Let's try something.	Lass uns etwas versuchen!
I have to go to sleep.	Ich muss schlafen gehen.
What is this?	Was ist das?
What's this?	Was ist das?
What is that?	Was ist das?
What is it?	Was ist das?
What's that?	Was ist das?
Today is June 18th and it is Muiriel's birthday!	Heute ist der 18. Juni und das ist der Geburtstag von Muiriel!
Happy birthday, Muiriel!	Herzlichen Glückwunsch zum Geburtstag, Muiriel!
Muiriel has turned twenty.	Muiriel ist jetzt 20.
Muiriel is 20 now.	Muiriel ist jetzt 20.
The password is "Muiriel".	Das Passwort ist "Muiriel".
I will be back soon.	Ich werde bald zurück sein.
I'll be back right away.	Ich werde bald zurück sein.
I'm at a loss for words.	Ich finde keine Worte.
I have no words.	Ich finde keine Worte.
I don't know what to say.	Ich finde keine Worte.
This is never going to end.	Das wird nie enden.
I just don't know what to say.	Ich weiß einfach nicht, was ich sagen soll.
I simply don't know what to tell...	Ich weiß einfach nicht, was ich sagen soll.
I simply don't know what to say...	Ich weiß einfach nicht, was ich sagen soll.
That was an evil bunny.	Das war ein böses Kaninchen.
I was in the mountains.	Ich war in den Bergen.
I don't know if I have the time.	Ich weiß nicht, ob ich Zeit dazu habe.
For some reason the microphone didn't work earlier.	Aus irgendeinem Grund hat das Mikrofon gerade nicht funktioniert.
Everyone must learn on their own in the end.	Letztendlich muss jeder selbst lernen.
Education in this world disappoints me.	Die Ausbildung in dieser Welt enttäuscht mich.
Learning should not be forced. Learning should be encouraged.	Zum Lernen sollte man nicht gezwungen werden. Zum Lernen sollte man ermutigt werden.
It is a difficult task, choosing what is "right" or "wrong", but you have to do it.	Es ist eine schwere Aufgabe, zwischen "richtig" und "falsch" zu unterscheiden, aber man muss es tun.
It won't change anything.	Das wird nichts ändern.
That'll change nothing.	Das wird nichts ändern.
That will change nothing.	Das wird nichts ändern.
That won't change anything.	Das wird nichts ändern.
That doesn't change anything.	Das wird nichts ändern.
This will cost €30.	Das wird 30 € kosten.
I make €100 a day.	Ich verdiene 100 Euro pro Tag.
I might give up soon and have a kip instead.	Es kann sein, dass ich bald aufgebe und stattdessen ein Nickerchen mache.
I may give up soon and just nap instead.	Es kann sein, dass ich bald aufgebe und stattdessen ein Nickerchen mache.
Maybe I'll just give up soon and take a nap instead.	Es kann sein, dass ich bald aufgebe und stattdessen ein Nickerchen mache.
It's because you don't want to be alone.	Das liegt daran, dass du nicht allein sein willst.
That won't happen.	Das wird nicht passieren.
Sometimes he can be a strange guy.	Manchmal kann er ein seltsamer Junge sein.
I'll do my best not to disturb your studying.	Ich werde mir Mühe geben, dich nicht beim Lernen zu stören.
I can only wonder if this is the same for everyone else.	Ich kann mich nur fragen, ob es für alle anderen dasselbe ist.
I suppose it's different when you think about it over the long term.	Ich vermute, das ist anders, wenn du darüber längerfristig nachdenkst.
Don't worry!	Mach dir keine Sorgen.
Don't worry about it!	Mach dir keine Sorgen.
Don't worry.	Mach dir keine Sorgen.
Stop worrying.	Mach dir keine Sorgen.
I miss you.	Ich vermisse dich.
I'll call them tomorrow when I come back.	Ich werde sie morgen anrufen, wenn ich zurückkomme.
I always liked strange personalities.	Ich mochte mysteriöse Charaktere schon immer mehr.
I always liked mysterious characters more.	Ich mochte mysteriöse Charaktere schon immer mehr.
You should sleep.	Du solltest schlafen.
I told them to send me another ticket.	Ich sagte ihnen, sie sollen mir ein neues Ticket schicken.
You're so impatient with me.	Du bist so ungeduldig mit mir.
I can't live that kind of life.	Ich kann so ein Leben nicht leben.
I once wanted to be an astrophysicist.	Ich wollte mal Astrophysiker werden.
I never liked biology.	Ich mochte Biologie noch nie.
The last person I told my idea to thought I was nuts.	Die letzte Person, der ich meine Idee erzählt habe, dachte, ich wäre bekloppt.
If the world weren't in the shape it is now, I could trust anyone.	Wenn die Welt nicht so wäre wie sie jetzt ist, könnte ich jedem vertrauen.
It is unfortunately true.	Unglücklicherweise stimmt es.
Unfortunately, it's true.	Unglücklicherweise stimmt es.
They are too busy fighting against each other to care for common ideals.	Sie sind zu sehr damit beschäftigt, sich gegenseitig zu bekämpfen, als dass sie sich gemeinsamen Idealen widmen könnten.
Most people think I'm crazy.	Die meisten Leute denken, ich sei verrückt.
No I'm not; you are!	Nein, ich bin es nicht, du bist es!
That's MY line!	Das war mein Satz!
He's kicking me!	Er tritt mich!
He is kicking me!	Er tritt mich!
He's kicking me.	Er tritt mich!
Are you sure?	Bist du sicher?
Are you certain?	Bist du sicher?
Are you sure about this?	Bist du sicher?
Then there is a problem...	Dann haben wir ein Problem...
Oh, there is a butterfly!	Oh, da ist ein Schmetterling!
Oh, there's a butterfly!	Oh, da ist ein Schmetterling!
Hurry up.	Beeil dich!
Hurry it up!	Beeil dich!
Look sharp!	Beeil dich!
Step on it!	Beeil dich!
Hurry!	Beeil dich!
It doesn't surprise me.	Es überrascht mich nicht.
If I could be like that...	Wenn ich so sein könnte...
For some reason I feel more alive at night.	Aus irgendeinem Grund fühle ich mich nachts lebendiger.
It depends on the context.	Das kommt auf den Zusammenhang an.
Are you freaking kidding me?!	Willst du mich verdammt nochmal auf den Arm nehmen?!
That's the stupidest thing I've ever said.	Das ist das Dümmste, was ich je gesagt habe.
I don't want to be lame; I want to be cool!!	Ich will nicht erbärmlich sein, ich will cool sein!!
When I grow up, I want to be a king.	Wenn ich groß bin, will ich ein König sein.
America is a lovely place to be, if you are here to earn money.	Es ist wundervoll in Amerika zu sein, wenn man hier ist, um Geld zu verdienen.
I'm so fat.	Ich bin so dick.
And then?	Na und?
Then what?	Na und?
So what?	Na und?
So fuckin' what.	Na und?
What's your point?	Na und?
I will shoot him.	Ich werde ihn erschießen.
I'm gonna shoot him.	Ich werde ihn erschießen.
I'm going to shoot him dead.	Ich werde ihn erschießen.
I'm not a real fish, I'm just a mere plushy.	Ich bin kein echter Fisch, ich bin nur ein einfaches Plüschtier.
I'm just saying!	Ich sag's ja nur!
That was probably what influenced their decision.	Wahrscheinlich war es das, was ihre Entscheidung beeinflusst hat.
I've always wondered what it'd be like to have siblings.	Ich habe mich immer gefragt, wie es wäre, Geschwister zu haben.
This is what I would have said.	Das hätte ich gesagt.
It would take forever for me to explain everything.	Es würde ewig dauern, alles zu erklären.
It would take forever to explain everything.	Es würde ewig dauern, alles zu erklären.
It's because you're a girl.	Es liegt daran, dass du ein Mädchen bist.
Sometimes I can't help showing emotions.	Manchmal kann ich es nicht vermeiden, Gefühle zu zeigen.
It's a word I'd like to find a substitute for.	Es ist ein Wort, für das ich gerne einen Ersatz finden würde.
It's a word I'd like to find a replacement for.	Es ist ein Wort, für das ich gerne einen Ersatz finden würde.
It would be something I'd have to program.	Das wäre etwas, das ich programmieren sollte.
I don't intend to be selfish.	Ich beabsichtige nicht, selbstsüchtig zu sein.
Let's think about the worst that could happen.	Lass uns über das Schlimmste, das passieren könnte, nachdenken.
